"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 24 18:20:10 GMT 2022","Sun Apr 24 18:20:11 GMT 2022","1776","chromium","tests/ui/main_page.spec.js","Check main playwright page","","","Check scroll to footer ""Community"" column title",""
"passed","Sun Apr 24 18:20:03 GMT 2022","Sun Apr 24 18:20:07 GMT 2022","4619","chromium","tests/ui/docs_page.spec.js","Check ""Docs"" page","","","Check side panel introduction items",""
"passed","Sun Apr 24 18:20:07 GMT 2022","Sun Apr 24 18:20:10 GMT 2022","2495","chromium","tests/ui/navigator_bar.spec.js","Check navigator bar component","","","Check ""Playwright""(logo) button redirection @fast",""
"passed","Sun Apr 24 18:20:03 GMT 2022","Sun Apr 24 18:20:04 GMT 2022","899","chromium","tests/api/api.spec.js","Check API","","","Check call - GET /docs/api/class-playwright 200 @fast",""
"passed","Sun Apr 24 18:20:07 GMT 2022","Sun Apr 24 18:20:14 GMT 2022","6904","chromium","tests/ui/docs_page.spec.js","Check ""Docs"" page","","","Check tag @slow",""
"passed","Sun Apr 24 18:20:07 GMT 2022","Sun Apr 24 18:20:10 GMT 2022","2867","chromium","tests/ui/main_page.spec.js","Check main playwright page","","","Check redirection on GitHub repo after clicking on link button",""
"failed","Sun Apr 24 18:20:05 GMT 2022","Sun Apr 24 18:20:06 GMT 2022","1323","chromium","tests/api/api.spec.js","Check API","","","test will fail",""
"passed","Sun Apr 24 18:20:03 GMT 2022","Sun Apr 24 18:20:07 GMT 2022","4011","chromium","tests/ui/main_page.spec.js","Check main playwright page","","","Check ""GET STARTED"" button redirection",""
"failed","Sun Apr 24 18:20:17 GMT 2022","Sun Apr 24 18:20:24 GMT 2022","6241","chromium","tests/ui/main_page.spec.js","Check main playwright page","","","test will fail",""
